,chainId,blockNumber,blockHash,transactionIndex,hash,log_index,nonce,from,to,token,token_address,value,price,value_usd,gas,gasPrice,gasUsed,maxFeePerGas,maxPriorityFeePerGas,type,callType,traceAddress,subtraces,output,error,result,address,code,init,r,s,v,input
44,1,15950965,,96,0xc2a5b216c6e7c23c5d60971aeb9f90dad7a9896f06437056a78ef27e0c957aad,145.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,cUSDT,0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,53483591.51418977,0.022025886890854197,1178023.537208193227435762,,,,,,,,,,,,,,,,,,,
47,1,15950971,,96,0x0f2c07526f78d233d282ab931472f99fd7d48f2d3db6098b536984a78143234b,208.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,PAXG,0x45804880De22913dAFE09f4980848ECE6EcbAf78,33671.001985807872610683,1770.583292505399640504,59617313.557987552665576509,,,,,,,,,,,,,,,,,,,
50,1,15950974,,61,0x69033aa13a5b63cad352d7be22dd064c42ddc73f3cc2169bcaac1ec1c6cd57e9,109.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,3728799.897844151453391927,1.840144159999999918,6861529.355826511581353075,,,,,,,,,,,,,,,,,,,
53,1,15950977,,113,0x1ca0873c3447b4af070bc19761f162c939f4035b6f84c575b58f000036d040b6,150.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,17039.266831053583676958,63.140000000000000568,1075859.307712723283041432,,,,,,,,,,,,,,,,,,,
55,1,15950980,,70,0xbf1592911d05de1019f3bca1bb936d09ad8872af0ea8e0ef007c6fdf8c73ecd9,166.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,17670978.74583889050333395,1.033198840000000063,18257634.741865397608203314,,,,,,,,,,,,,,,,,,,
57,1,15950987,,53,0x8b06a00de952da6607afd89ce0f4d6f661a3913551a0204c97313d4f519b97b4,70.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,530228.099091297876226603,5.936665529999999968,3147786.878912732407789381,,,,,,,,,,,,,,,,,,,
59,1,15950993,,44,0xf60753c628dfa15e65de93234547eb6fcad84c0e0f9604802139d75205ca72c4,57.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,418102844520.972577400138485038,0.000103049881739946,43085448.683021253497263135,,,,,,,,,,,,,,,,,,,
61,1,15951022,0xd2eae77ce661100d9ec3398daffecf74d1dfced22c02baa71ef4260f39c23d9c,95,0xeef5cac32c95c48e866e5dad9aaee899942702261e40851f04c3c2aa4f6295d6,,,0x48907cea8b58909280d2f807813ef15b19d4c73d,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,0.001,1286.130000000000109139,1.286130000000000109,0.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x
62,1,15951023,,49,0x93bfdcc5ec796093d542eb579b0a7df81fc8e0230d2f2d230aee8cb6e87d81c8,55.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,LDO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,2262163.873042366896490023,1.201119191919191920,2717128.443177437189253727,,,,,,,,,,,,,,,,,,,
64,1,15951026,,39,0xfe31cd9c3f7917a9f846824b1a7e5efd7110fb452fd8b617fbdc08a420afaa05,48.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,974719.35678909775532593,3.120456959999999835,3041569.800939263181898481,,,,,,,,,,,,,,,,,,,
66,1,15951028,,72,0xbc4da5280cad9e7d34b541ef31a2ab766fe0202ee9ffd8aabdce596a10ea081b,105.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,175820350512.737939321648328516,0.000103049881739946,18118266.327813498711779468,,,,,,,,,,,,,,,,,,,
68,1,15951031,,82,0xec7cae44b57980a4b80931e335e6608b6adebced08ca6a4ba27819fbd8873d39,289.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,SUSHI,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,831137.06105493970061293,1.234898829999999892,1026370.184266383512244655,,,,,,,,,,,,,,,,,,,
70,1,15951033,,86,0xef51ff6dc734d75dfac65186bf34990454023c86ab150fe8f82995a32326f933,119.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,PAXG,0x45804880De22913dAFE09f4980848ECE6EcbAf78,1513.980826388266673649,1774.836397859576663905,2687068.276335416334097327,,,,,,,,,,,,,,,,,,,
72,1,15951034,,81,0xa1c848411aa2eb45e1cf79db3f8f1efbcd1ff15280da6e143cbc57c29c89fe00,133.0,,0x7abE0cE388281d2aCF297Cb089caef3819b13448,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,USDP,0x8E870D67F660D95d5be530380D0eC0bd388289E1,2073671.832253462008841465,1.000000000000000000,2073671.832253462008841465,,,,,,,,,,,,,,,,,,,
75,1,15951050,,18,0x56e98b5cb905597e6e09cab388bc9cf7e676f8ff6a19b08e12c0c91dfab872ab,15.0,,0x0000000000000000000000000000000000000000,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,BANKRUPT,0x771705b132A7c258dde71AD380058306C64Ef587,1000000000,,,,,,,,,,,,,,,,,,,,,
